"PC1","PC2","Date","Coin"
-1.72473905337074,0.521108164263159,2020-01-01,"ETH"
-1.74624548464012,0.503317027101269,2020-01-02,"ETH"
-1.70102980415763,0.275253955470458,2020-01-03,"ETH"
-1.75962300772325,0.556986163187183,2020-01-04,"ETH"
-1.76329396319485,0.545837266911284,2020-01-05,"ETH"
-1.72015046997428,0.404716712737737,2020-01-06,"ETH"
-1.69919116596823,0.396439166639991,2020-01-07,"ETH"
-1.70497971172118,0.381609729678229,2020-01-08,"ETH"
-1.76512607879389,0.527738086566907,2020-01-09,"ETH"
-1.71128239127738,0.409058720345322,2020-01-10,"ETH"
-1.69908981667604,0.389135555894766,2020-01-11,"ETH"
-1.7242985094209,0.45941309022236,2020-01-12,"ETH"
-1.72894198684063,0.472817512714836,2020-01-13,"ETH"
-1.49458076276432,-0.2729951678295,2020-01-14,"ETH"
-1.52694060428844,-0.131692101639552,2020-01-15,"ETH"
-1.57226838180803,-0.00510413355822442,2020-01-16,"ETH"
-1.5363535257078,-0.11828531581138,2020-01-17,"ETH"
-1.53938877063154,-0.113283019826901,2020-01-18,"ETH"
-1.57707541714074,-0.00509763492291873,2020-01-19,"ETH"
-1.64006997344059,0.227406678350688,2020-01-20,"ETH"
-1.67569543676153,0.348808621853578,2020-01-21,"ETH"
-1.69355966766034,0.400061354119286,2020-01-22,"ETH"
-1.66552667041511,0.292911455772504,2020-01-23,"ETH"
-1.64861634182956,0.273329129194214,2020-01-24,"ETH"
-1.72248414250905,0.48513721562515,2020-01-25,"ETH"
-1.69607548388645,0.393925310297027,2020-01-26,"ETH"
-1.64682292703007,0.238299693832993,2020-01-27,"ETH"
-1.62937106604151,0.167483956438606,2020-01-28,"ETH"
-1.65292053348324,0.263320469618062,2020-01-29,"ETH"
-1.60246008116928,0.0935502621281561,2020-01-30,"ETH"
-1.62836560510966,0.171781546334562,2020-01-31,"ETH"
-1.6333530283466,0.185271376122579,2020-02-01,"ETH"
-1.55551068223228,-0.0338161555148074,2020-02-02,"ETH"
-1.59975967037982,0.115052711280512,2020-02-03,"ETH"
-1.6129918023258,0.177865532384158,2020-02-04,"ETH"
-1.52221557253298,-0.104229567311867,2020-02-05,"ETH"
-1.48004253047185,-0.245027153626984,2020-02-06,"ETH"
-1.4694824001606,-0.267152324810994,2020-02-07,"ETH"
-1.45631434855958,-0.268931869270907,2020-02-08,"ETH"
-1.50503328898914,-0.117508348533637,2020-02-09,"ETH"
-1.4749669571686,-0.223069000890518,2020-02-10,"ETH"
-1.44226848023076,-0.287616611507184,2020-02-11,"ETH"
-1.22060275456703,-0.964059823593163,2020-02-12,"ETH"
-1.17749553777873,-1.0734367201356,2020-02-13,"ETH"
-1.23045555847693,-0.871790860958356,2020-02-14,"ETH"
-1.23260934285964,-0.882387131584917,2020-02-15,"ETH"
-1.19315320988943,-1.01349462053261,2020-02-16,"ETH"
-1.16180662207563,-1.08946924039303,2020-02-17,"ETH"
-1.14237636935672,-1.13280605187727,2020-02-18,"ETH"
-1.238700773648,-0.783848789332817,2020-02-19,"ETH"
-1.23285368751921,-0.836372040584356,2020-02-20,"ETH"
-1.30321791211167,-0.628320886268457,2020-02-21,"ETH"
-1.4016268341608,-0.269780994936853,2020-02-22,"ETH"
-1.3270922839053,-0.510532503882808,2020-02-23,"ETH"
-1.24455057589678,-0.758992032596507,2020-02-24,"ETH"
-1.27867623533017,-0.717573240887895,2020-02-25,"ETH"
-1.16929381235052,-1.10797093527187,2020-02-26,"ETH"
-1.16556949906359,-1.04773123586381,2020-02-27,"ETH"
-1.25977024783786,-0.775902771820315,2020-02-28,"ETH"
-1.37936360237793,-0.38294272478799,2020-02-29,"ETH"
-1.38528367318391,-0.38493295079265,2020-03-01,"ETH"
-1.33116968662376,-0.578151827707648,2020-03-02,"ETH"
-1.34097267530191,-0.535894637284467,2020-03-03,"ETH"
-1.42496232722152,-0.239752900211405,2020-03-04,"ETH"
-1.37359323002406,-0.38397931747375,2020-03-05,"ETH"
-1.35366551285006,-0.495531247097672,2020-03-06,"ETH"
-1.34362944156956,-0.496607901707785,2020-03-07,"ETH"
-1.29563610003369,-0.668046560072765,2020-03-08,"ETH"
-1.23791148650666,-0.872269399615771,2020-03-09,"ETH"
-1.38451999811945,-0.398693954014715,2020-03-10,"ETH"
-1.43226752560277,-0.280294263802548,2020-03-11,"ETH"
-1.32130417551072,-0.741164508974885,2020-03-12,"ETH"
-1.16703192395421,-1.25736969295929,2020-03-13,"ETH"
-1.59706911923068,0.0903048859439786,2020-03-14,"ETH"
-1.59370121105046,0.093473124514377,2020-03-15,"ETH"
-1.50747969697398,-0.197795535044233,2020-03-16,"ETH"
-1.6263345817859,0.14561628294825,2020-03-17,"ETH"
-1.62865761934697,0.191529498817771,2020-03-18,"ETH"
-1.4878549813103,-0.234939974647457,2020-03-19,"ETH"
-1.42161653469562,-0.465169162652944,2020-03-20,"ETH"
-1.55590925200951,0.0105382809516025,2020-03-21,"ETH"
-1.60658787987382,0.110937060532147,2020-03-22,"ETH"
-1.55762303266868,-0.036936102544473,2020-03-23,"ETH"
-1.52713560341398,-0.0716609892138295,2020-03-24,"ETH"
-1.57082884694406,0.0294603324476803,2020-03-25,"ETH"
-1.61788250574059,0.2175203750816,2020-03-26,"ETH"
-1.62084435396126,0.214069808391387,2020-03-27,"ETH"
-1.59915680298382,0.14624589809439,2020-03-28,"ETH"
-1.65721972867914,0.346962478143919,2020-03-29,"ETH"
-1.59764833218967,0.178654708523347,2020-03-30,"ETH"
-1.63238910396496,0.242774651056565,2020-03-31,"ETH"
-1.59687228983032,0.117113163899223,2020-04-01,"ETH"
-1.50058209514398,-0.133240956491043,2020-04-02,"ETH"
-1.5648901346746,0.0557389107018002,2020-04-03,"ETH"
-1.60527985236146,0.163533676433203,2020-04-04,"ETH"
-1.61934357536102,0.224886158892002,2020-04-05,"ETH"
-1.34174945007765,-0.706874250656157,2020-04-06,"ETH"
-1.33866031388928,-0.707414448191824,2020-04-07,"ETH"
-1.45048960622407,-0.292081796147448,2020-04-08,"ETH"
-1.50832393819939,-0.0980335207122309,2020-04-09,"ETH"
-1.42338414590279,-0.371469943211045,2020-04-10,"ETH"
-1.55470198266093,0.0204530674057776,2020-04-11,"ETH"
-1.50085430506343,-0.116060038334501,2020-04-12,"ETH"
-1.47193968758826,-0.238354452984773,2020-04-13,"ETH"
-1.5075211322815,-0.0780898503811335,2020-04-14,"ETH"
-1.52741457449805,-0.0300560576179145,2020-04-15,"ETH"
-1.279362727839,-0.81067188114452,2020-04-16,"ETH"
-1.45397377610742,-0.258451730034382,2020-04-17,"ETH"
-1.35053549539526,-0.56516004554778,2020-04-18,"ETH"
-1.39447831239683,-0.479934285998756,2020-04-19,"ETH"
-1.34289968247327,-0.670793013809658,2020-04-20,"ETH"
-1.46382721666624,-0.236796321373466,2020-04-21,"ETH"
-1.42264832454735,-0.375823381375699,2020-04-22,"ETH"
-1.31990641221459,-0.664613052689404,2020-04-23,"ETH"
-1.44844561686113,-0.266084775855024,2020-04-24,"ETH"
-1.40881005263562,-0.398859828136463,2020-04-25,"ETH"
-1.40322224681111,-0.404401518038467,2020-04-26,"ETH"
-1.40542865152668,-0.438683885415137,2020-04-27,"ETH"
-1.41665724180712,-0.397919352600602,2020-04-28,"ETH"
-1.17431736546822,-1.1248755209471,2020-04-29,"ETH"
-1.12232124379035,-1.27272279236855,2020-04-30,"ETH"
-1.30859082912715,-0.618312195483511,2020-05-01,"ETH"
-1.37280184027902,-0.387757042943805,2020-05-02,"ETH"
-1.32596907350016,-0.589846239344478,2020-05-03,"ETH"
-1.2560766099021,-0.775855254055247,2020-05-04,"ETH"
-1.35011359313172,-0.452237021219343,2020-05-05,"ETH"
-1.32791851166136,-0.577118030806669,2020-05-06,"ETH"
-1.24953598683218,-0.873037640910843,2020-05-07,"ETH"
-1.32800057855655,-0.588504649573901,2020-05-08,"ETH"
-1.36390049128024,-0.452745102385367,2020-05-09,"ETH"
-1.21655962467152,-1.0187475544336,2020-05-10,"ETH"
-1.35129729020804,-0.554755796583207,2020-05-11,"ETH"
